Description     Url
Dog     https://i0.wp.com/species360.org/wp-content/uploads/2018/08/san-diego-zoo-cheetah-dog-elvis.jpg?w=1000&ssl=1
Dog     https://static.wixstatic.com/media/983caa_f13f73dfc44041248ee6c41f76f0fcca~mv2.jpg/v1/fill/w_625,h_625,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/983caa_f13f73dfc44041248ee6c41f76f0fcca~mv2.jpg
Dog     https://www.bellajojos.com/cdn/shop/products/black-wx3kl4jw-2_large_4a17dafc-e5ab-44ac-894b-28ca145be9b4.jpg?v=1667931489&width=1200
Cat     https://cdn.pixabay.com/photo/2024/02/28/07/42/european-shorthair-8601492_640.jpg
Cat     https://hips.hearstapps.com/hmg-prod/images/cats-that-looks-like-tigers-savannah-1562691261.jpg?crop=0.668xw:1.00xh
Bird     https://images.pexels.com/photos/349758/hummingbird-bird-birds-349758.jpeg?cs=srgb&dl=pexels-pixabay-349758.jpg&fm=jpg
Bird     https://base-prod.rspb-prod.magnolia-platform.com/dam/jcr:475e53d7-db96-4628-b7d6-057b49c783d8/1921727066-Species-Hoopoe-In-flight-with-insect-in-mouth.jpg
Bird     https://i0.wp.com/www.halmoran.com/wp-content/uploads/2022/04/Hal-Moran22-04-215877-1.jpg?ssl=1
